Family_name;sp_name;latitude;elevation;annual_mean_temp;annual_prec;Trunk_circumference;age_rank;unique_name;religion;sp_num;Family_num
Aquifoliaceae;Ilex_rotunda;33.1804356;12.62243938;16.6;2022.6;350;4;0;0;38;28
Aquifoliaceae;Ilex_rotunda;34.4162672;4.714691162;15.6;1653.1;360;4;1;0;38;28
Aquifoliaceae;Ilex_rotunda;34.9548536;23.16151237;15.8;1412.6;326;2;1;0;38;28
Aquifoliaceae;Ilex_rotunda;31.7279778;12.20955467;17.6;2382.3;326;2;0;0;38;28
Aquifoliaceae;Ilex_rotunda;34.8408081;38.87631989;15;1124.1;340;3;0;0;38;28
Aquifoliaceae;Ilex_rotunda;34.0656598;281.4150085;13.7;1878.4;350;2;0;0;38;28
Aquifoliaceae;Ilex_integra;33.8353191;16.76422691;15.5;1527.6;345;4;0;0;64;28
Aquifoliaceae;Ilex_integra;35.3594286;10.08657265;15.7;1849;315;3;0;0;64;28
Aquifoliaceae;Ilex_integra;35.338456;322.1329041;11.7;1962.6;303;4;0;0;64;28
Aquifoliaceae;Ilex_integra;36.3658764;7.943851471;13.9;1338.3;380;2;0;0;64;28
Aquifoliaceae;Ilex_integra;35.1328654;71.14825439;14.6;2196.6;330;4;0;0;64;28
Aquifoliaceae;Ilex_rotunda;34.0830306;2.940170765;16.3;1392.5;305;3;0;1;38;28
Aquifoliaceae;Ilex_rotunda;35.0306038;107.6101227;13.7;1221;361;4;0;0;38;28
Aquifoliaceae;Ilex_rotunda;33.8840981;60.6271553;15.7;1616.5;303;4;0;0;38;28
Aquifoliaceae;Ilex_rotunda;35.1191725;102.0139389;14.4;1447.7;400;4;0;1;38;28
Aquifoliaceae;Ilex_rotunda;33.9638862;1.173403859;15.6;1672.4;300;2;0;0;38;28
Aquifoliaceae;Ilex_rotunda;34.1667451;4.140057087;15.5;1546.9;310;4;1;0;38;28
Aquifoliaceae;Ilex_rotunda;34.4675136;5.101124763;15.3;1692.7;310;3;0;0;38;28
Aquifoliaceae;Ilex_rotunda;33.2885641;73.12342072;15.5;2248.7;330;4;0;0;38;28
Aquifoliaceae;Ilex_rotunda;34.8265523;10.16771221;16.4;1596.8;390;2;0;0;38;28
Aquifoliaceae;Ilex_rotunda;34.6746663;6.650732994;15.9;1100.6;350;4;0;1;38;28
Aquifoliaceae;Ilex_rotunda;34.0725028;4.869235992;16.1;1182.9;430;4;1;0;38;28
Aquifoliaceae;Ilex_latifolia;37.7970426;6.764709473;12.5;1391.9;310;4;1;0;150;28
Aquifoliaceae;Ilex_latifolia;35.32267;79.01356506;14.1;1753.5;460;2;0;0;150;28
Aquifoliaceae;Ilex_integra;34.4168685;13.15163708;15.2;1628.4;370;4;0;0;64;28
Aquifoliaceae;Ilex_integra;33.2235707;2.804316044;16.8;1790.3;480;2;0;0;64;28
Aquifoliaceae;Ilex_rotunda;33.962646;3.176357508;16;1587.5;370;3;1;1;38;28
Aquifoliaceae;Ilex_rotunda;33.3410325;5.447226048;16;2039.2;420;2;0;0;38;28
Aquifoliaceae;Ilex_rotunda;34.3163425;15.77834988;15.6;1089.6;310;2;0;0;38;28
Aquifoliaceae;Ilex_latifolia;35.83333;10.51445675;15;1409.4;330;1;0;0;150;28
Aquifoliaceae;Ilex_latifolia;34.8117311;45.53276062;14.3;1251.5;330;3;0;0;150;28
Aquifoliaceae;Ilex_latifolia;34.8634781;306.5166016;12.7;1259.7;320;4;0;0;150;28
Aquifoliaceae;Ilex_rotunda;34.7367456;48.04760361;15.9;1323.5;315;2;0;0;38;28
Aquifoliaceae;Ilex_rotunda;31.2737587;15.08974838;18.2;2175.5;318;2;0;0;38;28
Aquifoliaceae;Ilex_rotunda;35.4234226;17.77885056;15.8;1889.6;310;3;0;0;38;28
Aquifoliaceae;Ilex_rotunda;33.5319902;20.04666328;15.4;1573.3;340;4;0;1;38;28
Aquifoliaceae;Ilex_rotunda;34.1015446;66.19818878;14.9;1335.5;310;4;1;0;38;28
Aquifoliaceae;Ilex_latifolia;38.318802;25.82440186;11.9;1203.3;502;4;0;0;150;28
Aquifoliaceae;Ilex_rotunda;35.1770154;1.921801448;15.6;1543.3;352;3;0;0;38;28
Aquifoliaceae;Ilex_rotunda;33.5486713;21.2466011;16.3;2594;350;4;0;0;38;28
Aquifoliaceae;Ilex_rotunda;32.9497905;18.60211945;16.7;1918.6;309;4;0;0;38;28
Aquifoliaceae;Ilex_rotunda;31.7407317;6.887678146;17.5;2381.8;318;4;0;1;38;28
Aquifoliaceae;Ilex_integra;35.6465615;41.37080765;15.8;1576;400;2;0;0;64;28
Aquifoliaceae;Ilex_integra;32.8434342;8.322517395;17;2086.3;367;4;0;0;64;28
Aquifoliaceae;Ilex_integra;36.3658764;7.943851471;13.9;1338.3;355;4;0;1;64;28
Aquifoliaceae;Ilex_integra;35.8977688;2.927274466;14.1;1484.8;315;3;0;0;64;28
Aquifoliaceae;Ilex_rotunda;35.1837306;5.543448448;16;1546;304;3;0;0;38;28
Aquifoliaceae;Ilex_rotunda;34.0352741;129.448761;14.7;1378.5;445;3;1;0;38;28
Aquifoliaceae;Ilex_latifolia;35.0086247;84.83737946;13.5;1206.8;420;4;0;0;150;28
Aquifoliaceae;Ilex_rotunda;34.6900806;10.79140854;16.7;1225.6;540;3;0;0;38;28
Aquifoliaceae;Ilex_rotunda;34.9600081;30.43574905;15.7;2177.9;320;4;0;0;38;28
Aquifoliaceae;Ilex_rotunda;33.8107405;206.8235474;15.1;1948.8;330;1;0;0;38;28
Aquifoliaceae;Ilex_rotunda;35.3039172;10.49599648;15.9;1693.4;325;3;0;0;38;28
Aquifoliaceae;Ilex_rotunda;34.797998;3.906449556;15.6;1116.7;300;4;0;0;38;28
Aquifoliaceae;Ilex_rotunda;33.8619644;2.73375988;16.3;1709.1;310;1;0;0;38;28
Aquifoliaceae;Ilex_latifolia;34.8939743;230.5265808;12.7;1967.3;306;4;0;0;150;28
Aquifoliaceae;Ilex_rotunda;35.013047;99.61327362;14.8;1479.7;322;4;0;1;38;28
Aquifoliaceae;Ilex_rotunda;34.6722846;12.7086935;15.9;1118.7;300;2;0;0;38;28
Aquifoliaceae;Ilex_rotunda;35.0061007;4.309165001;16.4;2179.4;350;3;0;0;38;28
Aquifoliaceae;Ilex_rotunda;34.2641744;71.51705933;15;1455.5;378;3;0;0;38;28
Aquifoliaceae;Ilex_integra;34.9880957;161.6090088;13.5;1410.7;314;4;0;1;64;28
Aquifoliaceae;Ilex_rotunda;35.0112935;17.78591919;15.3;1583.7;400;4;0;0;38;28
Aquifoliaceae;Ilex_rotunda;34.316629;10.50797558;16;1233.3;425;4;0;0;38;28
Aquifoliaceae;Ilex_rotunda;35.0761121;35.79216385;15;1675.6;335;4;0;1;38;28
Aquifoliaceae;Ilex_rotunda;34.9932139;39.07208252;14.9;1802.9;345;3;0;0;38;28
Aquifoliaceae;Ilex_latifolia;38.2786968;63.47179794;12;1243.2;310;4;0;0;150;28
