"","basin","site","reg_rich","loc_rich","abund","HII","width","depth","temp","temp_season","precip","precip_season","Isothermality","AET","evi","region"
"14","guiana","ducke_7",16,4,10,0.710002075597638,-0.330699549812919,0.13136607817204,0.760731620936236,-0.267200278258824,0.789203465862109,-1.36120955735806,-1.29849484221046,0.932555190472222,-1.20347323453009,"west"
"15","guiana","ducke_9",16,5,16,0.710002075597638,-0.30304438666046,-0.253237291608503,1.00729285776142,-0.846075385715193,0.728691605422835,-1.25419212331841,-1.29849484221046,0.818101269995182,-0.940375297289973,"west"
"16","guiana","ducke_15",16,3,5,0.576293136688319,-0.440645686248306,-0.952516145754944,1.00729285776142,-0.310615911318051,0.778201309418605,-1.36120955735806,-1.29849484221046,0.918248450412592,1.68598832182625,"west"
"17","guiana","ducke_2",16,4,15,0.509438673852251,-0.410292458398046,-0.567912775974402,0.884012239348829,-0.368503422063689,0.789203465862109,-1.36120955735806,-1.29849484221046,1.03270237088963,-1.16654720825077,"west"
"18","guiana","ducke_20",16,4,10,0.509438673852251,-0.336770195382971,-0.0434536353645707,0.760731620936236,-0.0935377460219126,0.800205622305614,-1.36120955735806,-1.29849484221046,0.975475410651111,0.843613347329394,"west"
"19","guiana","ducke_1",16,3,9,0.308875285344047,-0.367123423233231,-0.393093062437791,0.760731620936236,-0.397447177436507,0.811207778749118,-1.46822699139772,-1.29849484221046,1.08992933112815,0.813610950977451,"west"
"20","guiana","ducke_14",16,3,6,0.208593597708537,-0.389382456990089,-0.742732489511012,0.760731620936236,-0.397447177436507,0.805706700527366,-1.36120955735806,-1.29849484221046,0.975475410651111,-1.41118213235123,"west"
"21","guiana","ducke_4",16,4,20,0.208593597708537,-0.33339761451072,-0.00848969265724876,1.13057347617401,-0.281672155945233,0.73969376186634,-1.25419212331841,-1.29849484221046,0.961168670591481,-0.873446874658716,"west"
"22","guiana","ducke_19",16,1,5,0.108311896835843,-0.42378278188705,-0.8825882603403,1.00729285776142,-0.296144033631643,0.811207778749118,-1.46822699139772,-1.29849484221046,1.1614630314263,0.338188362631281,"west"
"23","guiana","ducke_3",16,4,25,0.108311896835843,-0.324628904242867,-0.53294883326708,0.760731620936236,-0.469806565868553,0.811207778749118,-1.46822699139772,-1.29849484221046,1.07562259106852,1.09978765464214,"west"
"24","guiana","ducke_10",16,5,15,-0.0922514916723607,-0.278087288205801,0.376113677123294,1.00729285776142,-0.773715997283147,0.728691605422835,-1.25419212331841,-1.41261764720645,0.861021490174072,-1.01884310313352,"west"
"25","inambari","inambari_10",17,3,29,1.03591758357812,-0.380613746722236,0.341149734415972,0.0210479104606847,1.13657185732287,-1.46073752683454,0.565104255355744,1.2122068677013,-0.541039035669663,-0.54803626807226,"west"
"26","inambari","inambari_11",17,6,33,1.03591758357812,-0.372519552628833,1.63481561458689,0.0210479104606847,1.13657185732287,-1.46073752683454,0.565104255355744,1.2122068677013,-0.541039035669663,-0.54803626807226,"west"
"27","inambari","inambari_9",17,7,26,1.03591758357812,-0.39275503786234,-0.494488496289025,0.0210479104606847,1.13657185732287,-1.46073752683454,0.565104255355744,1.2122068677013,-0.541039035669663,-1.30271193015574,"west"
"28","inambari","inambari_13",17,6,36,0.870452786404202,-0.370968165427598,-0.58504510790099,0.0210479104606847,1.10762810195005,-1.52124938727382,0.565104255355744,1.2122068677013,-0.469505335371514,0.622057189653509,"west"
"29","inambari","inambari_12",17,4,13,0.410828339514402,-0.340851018238395,-0.46022383243585,-0.225513326364498,0.962909325085961,-1.4662386050563,0.565104255355744,1.2122068677013,-0.483812075431144,-0.130310595787518,"west"
"30","inambari","inambari_17",16,6,13,0.300518479144187,-0.370496004105483,1.11035647397706,-0.102232707951904,1.38259377799183,-2.3409100423149,1.10019142555402,1.32632967269729,-1.27068277871079,0.635904449508252,"west"
"31","inambari","inambari_8",21,2,9,0.300518479144187,-0.418836329963566,-0.812660374925656,-0.225513326364498,0.948437447399551,-0.899627548215818,0.351069387276432,1.2122068677013,-0.0689166137018751,-0.688816743262145,"west"
"32","inambari","inambari_1",19,3,17,0.0247438216000546,-0.417374878229773,-0.697279363991493,-0.225513326364498,1.1799874903821,-0.888625391772314,0.351069387276432,1.2122068677013,-0.0832233537615051,-0.578038664424202,"west"
"33","inambari","inambari_2",21,2,4,0.0247438216000546,-0.410292458398046,0.655825218781871,-0.102232707951904,1.45495316642387,-0.800608140224278,0.351069387276432,1.2122068677013,0.00261708659627464,-2.26971224334528,"west"
